V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,mTurkCode,Q6,Q9,Q1,Q2,Q4,Q5,Q11,Q10,LocationLatitude,LocationLongitude,LocationAccuracy,
R_C4wQb3Wopxo0rdv,Default Response Set,Anonymous,,,64.60.85.178,0,2016-05-16 10:37:29,2016-05-16 10:39:13,1,621512,1,1,1,,1,,3,No comments! ,33.916397094727,-118.40409851074,-1,
R_1lcPKIRuY3eWSMa,Default Response Set,Anonymous,,,164.58.172.153,0,2016-05-16 10:39:12,2016-05-16 10:39:25,1,7453334,1,1,,1,1,,2,,35.542297363281,-97.618896484375,-1,
R_2t6kldteG1hKAWa,Default Response Set,Anonymous,,,64.132.115.131,0,2016-05-16 10:38:17,2016-05-16 10:39:36,1,4589821,1,1,2,,1,,3,,35.084396362305,-89.810401916504,-1,
R_2AMEAA49dgx5BIJ,Default Response Set,Anonymous,,,207.32.248.19,0,2016-05-16 10:38:40,2016-05-16 10:40:10,1,8874286,1,1,,2,,2,3,,41.719497680664,-86.206398010254,-1,
R_3s51osZjmmkjgiO,Default Response Set,Anonymous,,,173.24.16.40,0,2016-05-16 10:38:29,2016-05-16 10:40:36,1,2877190,1,1,,2,2,,3,Thanks!,41.56640625,-93.740501403809,-1,
R_wSskREehe0wAyNb,Default Response Set,Anonymous,,,68.202.116.37,0,2016-05-16 10:39:49,2016-05-16 10:40:57,1,7442189,1,1,,2,,2,3,,29.253601074219,-82.287803649902,-1,
R_3P6vq6y8WNIHOSi,Default Response Set,Anonymous,,,71.14.39.162,0,2016-05-16 10:39:50,2016-05-16 10:41:08,1,4629774,1,1,1,,,2,3,,32.352493286133,-84.84700012207,-1,
R_Wcgap5CoK07OCT7,Default Response Set,Anonymous,,,184.188.99.143,0,2016-05-16 10:38:42,2016-05-16 10:41:25,1,1011000,1,1,,2,1,,3,,29.927093505859,-90.097297668457,-1,
R_9RC2tjskEaq8lZn,Default Response Set,Anonymous,,,72.175.125.199,0,2016-05-16 10:40:11,2016-05-16 10:41:52,1,5338110,1,1,2,,1,,3,none,38.477905273438,-105.45559692383,-1,
R_0OIUNdobv1bvgtP,Default Response Set,Anonymous,,,70.193.51.236,0,2016-05-16 10:40:44,2016-05-16 10:42:50,1,3003346,1,1,,2,,2,3,None,35.419799804688,-80.674797058105,-1,
R_W0DPM4bIKkd8lH3,Default Response Set,Anonymous,,,131.228.197.46,0,2016-05-16 10:40:36,2016-05-16 10:43:07,1,8778506,1,1,,2,,1,3,,37.751007080078,-97.821998596191,-1,
R_2R7CJfrpYkVIfpb,Default Response Set,Anonymous,,,50.46.217.118,0,2016-05-16 10:38:53,2016-05-16 10:43:16,1,890275,1,1,,2,,2,3,,47.720504760742,-122.20669555664,-1,
R_Td7qA48YQk6H3Il,Default Response Set,Anonymous,,,174.24.5.88,0,2016-05-16 10:40:18,2016-05-16 10:43:17,1,4323369,1,1,,2,,2,3,,38.914199829102,-104.77490234375,-1,
R_z25oR9WMV4klijn,Default Response Set,Anonymous,,,63.243.37.162,0,2016-05-16 10:43:31,2016-05-16 10:44:14,1,2005205,1,1,,2,1,,3,,28.618499755859,-81.433601379395,-1,
R_QnekISjA4j11OIV,Default Response Set,Anonymous,,,71.70.246.201,0,2016-05-16 10:43:56,2016-05-16 10:45:00,1,1696446,1,1,,2,1,,2,,35.750900268555,-78.778900146484,-1,
R_2tar6xYzdLhJjZs,Default Response Set,Anonymous,,,69.47.241.212,0,2016-05-16 10:44:43,2016-05-16 10:45:09,1,7791309,1,1,,1,1,,3,,41.693496704102,-87.614501953125,-1,
R_zeVsEQjtR7xsRqx,Default Response Set,Anonymous,,,97.125.190.72,0,2016-05-16 10:45:06,2016-05-16 10:45:35,1,4395861,1,1,,2,,1,3,,41.60139465332,-93.682899475098,-1,
R_3mHEabzFHHytKuZ,Default Response Set,Anonymous,,,209.2.60.95,0,2016-05-16 10:48:01,2016-05-16 10:48:26,1,1399231,1,1,1,,,2,1,none at all,40.644897460938,-73.958297729492,-1,
R_sA696ZsxWxg0pNL,Default Response Set,Anonymous,,,107.222.88.125,0,2016-05-16 10:47:32,2016-05-16 10:48:27,1,535269,1,1,2,,,2,3,,38.396499633789,-90.426300048828,-1,
R_1BPHBmI6JMmQEHN,Default Response Set,Anonymous,,,73.192.27.97,0,2016-05-16 10:48:56,2016-05-16 10:50:00,1,8548064,1,1,,2,,1,3,,30.353302001953,-81.499000549316,-1,
R_vpqomQqTp5XGimR,Default Response Set,Anonymous,,,64.134.176.248,0,2016-05-16 10:49:13,2016-05-16 10:50:48,1,1944970,1,1,2,,,2,3,,37.751007080078,-97.821998596191,-1,
R_Dq8D30CR4O0bGIp,Default Response Set,Anonymous,,,70.189.41.122,0,2016-05-16 10:50:03,2016-05-16 10:51:30,1,6867105,1,1,2,,2,,3,,30.160507202148,-92.033203125,-1,
R_zec0IvvQiC5xyQF,Default Response Set,Anonymous,,,68.104.178.218,0,2016-05-16 10:49:09,2016-05-16 10:51:31,1,8346746,1,1,,1,2,,3,,32.217300415039,-110.7553024292,-1,
R_vviQceeK3tDkxbP,Default Response Set,Anonymous,,,68.9.67.16,0,2016-05-16 10:44:00,2016-05-16 10:51:50,1,8843445,1,1,1,,,2,3,,41.700103759766,-71.416198730469,-1,
R_2uPBJd4F1hXDh6w,Default Response Set,Anonymous,,,108.9.12.202,0,2016-05-16 10:50:05,2016-05-16 10:52:00,1,3576581,1,1,2,,2,,3,,27.237899780273,-82.356002807617,-1,
R_1E0x16efIUWoL3X,Default Response Set,Anonymous,,,66.56.180.226,0,2016-05-16 10:51:34,2016-05-16 10:52:09,1,4920168,1,1,,2,,2,3,,34.000701904297,-81.034797668457,-1,
R_3rTyQvT8xF1rNDN,Default Response Set,Anonymous,,,174.134.100.37,0,2016-05-16 10:51:33,2016-05-16 10:52:16,1,5504126,1,1,,1,,1,3,,35.204406738281,-118.86479949951,-1,
R_ypVImRobcBvqVa1,Default Response Set,Anonymous,,,128.194.176.66,0,2016-05-16 10:51:24,2016-05-16 10:52:22,1,9096970,1,1,2,,2,,3,,30.658294677734,-96.323799133301,-1,
R_1FqQqW4AfCLhmJF,Default Response Set,Anonymous,,,73.35.236.136,0,2016-05-16 10:51:37,2016-05-16 10:52:34,1,574583,1,1,1,,,2,2,,47.101501464844,-122.32720184326,-1,
R_3Pi65g5jI68KoFt,Default Response Set,Anonymous,,,75.133.194.133,0,2016-05-16 10:51:44,2016-05-16 10:52:35,1,7518349,1,1,,2,,2,3,none,42.292404174805,-85.690803527832,-1,
R_1nPZWG29poM256I,Default Response Set,Anonymous,,,50.166.50.81,0,2016-05-16 10:51:33,2016-05-16 10:52:41,1,4774406,1,1,2,,,2,3,,40.866897583008,-74.821998596191,-1,
R_1MWesJtANBl1J6P,Default Response Set,Anonymous,,,98.194.228.209,0,2016-05-16 10:51:42,2016-05-16 10:52:51,1,8251682,1,1,2,,,1,3,,29.514205932617,-95.190299987793,-1,
R_2346f98suCeUtHO,Default Response Set,Anonymous,,,198.15.0.73,0,2016-05-16 10:51:42,2016-05-16 10:52:52,1,7084550,1,1,,1,,2,3,,44.686401367188,-122.7666015625,-1,
R_SMOJBFSH3mYFJaV,Default Response Set,Anonymous,,,184.90.151.212,0,2016-05-16 10:52:06,2016-05-16 10:53:00,1,4745325,1,1,,1,2,,3,,28.758895874023,-81.317802429199,-1,
R_12DV0lhdLhQ6rBc,Default Response Set,Anonymous,,,24.88.83.53,0,2016-05-16 10:51:50,2016-05-16 10:53:05,1,146269,1,1,,2,1,,3,,33.985992431641,-80.997200012207,-1,
R_3OfCqmxLtBjJ5Pe,Default Response Set,Anonymous,,,74.70.75.21,0,2016-05-16 10:51:35,2016-05-16 10:53:07,1,4385726,1,1,2,,,2,3,,42.628402709961,-73.528900146484,-1,
R_1r2oYOUajYrRdVG,Default Response Set,Anonymous,,,73.31.67.50,0,2016-05-16 10:51:39,2016-05-16 10:53:08,1,2767898,1,1,,2,,1,3,N/A,37.619201660156,-77.496002197266,-1,
R_1FJUF4udiA0DFX5,Default Response Set,Anonymous,,,24.115.28.115,0,2016-05-16 10:51:36,2016-05-16 10:53:17,1,6875622,1,1,1,,,1,3,,41.10710144043,-76.815299987793,-1,
R_1l4rYrKV7TsrTkK,Default Response Set,Anonymous,,,38.100.225.82,0,2016-05-16 10:51:54,2016-05-16 10:53:21,1,258087,1,1,,2,2,,3,,47.715698242188,-122.30099487305,-1,
R_2U405gnkw8ihVVi,Default Response Set,Anonymous,,,75.174.6.153,0,2016-05-16 10:51:38,2016-05-16 10:53:22,1,9379047,1,1,1,,1,,3,,43.681793212891,-116.73860168457,-1,
R_yIpu0VD89BicVkR,Default Response Set,Anonymous,,,73.72.139.173,0,2016-05-16 10:51:34,2016-05-16 10:53:22,1,208612,1,1,2,,1,,3,,42.234298706055,-88.306800842285,-1,
R_b1MqVD1WGFESdJ7,Default Response Set,Anonymous,,,69.54.63.165,0,2016-05-16 10:51:31,2016-05-16 10:53:23,1,9461253,1,1,2,,,2,3,,41.487503051758,-81.672401428223,-1,
R_3DwDM9dGvCymn0R,Default Response Set,Anonymous,,,72.47.176.70,0,2016-05-16 10:51:46,2016-05-16 10:53:31,1,8539053,1,1,,2,,2,3,,37.505996704102,-118.31140136719,-1,
R_3kj4i3CcsjfTsRR,Default Response Set,Anonymous,,,24.253.82.163,0,2016-05-16 10:51:48,2016-05-16 10:53:36,1,9996705,1,1,2,,,1,3,n/a,36.178802490234,-115.04959869385,-1,
R_1rw7snq99ehP89y,Default Response Set,Anonymous,,,168.244.5.54,0,2016-05-16 10:51:39,2016-05-16 10:53:37,1,7769650,1,1,,2,,1,3,,35.589004516602,-80.767997741699,-1,
R_1FmpvMnaiHKNCSn,Default Response Set,Anonymous,,,192.180.24.58,0,2016-05-16 10:52:29,2016-05-16 10:53:43,1,3762936,1,1,,2,,1,3,ez pz thx,39.065704345703,-84.528999328613,-1,
R_3KwNdRVTSnqpWDi,Default Response Set,Anonymous,,,184.5.108.25,0,2016-05-16 10:51:51,2016-05-16 10:53:45,1,2748992,1,1,,2,,1,3,,31.866394042969,-95.650703430176,-1,
R_2w4Sl9DXQOLSZqf,Default Response Set,Anonymous,,,69.253.158.137,0,2016-05-16 10:51:18,2016-05-16 10:53:48,1,6104251,1,1,1,,,2,3,,40.068405151367,-75.006500244141,-1,
R_2ZNZTL704wXg2wO,Default Response Set,Anonymous,,,64.130.130.121,0,2016-05-16 10:51:37,2016-05-16 10:53:50,1,3374044,1,1,2,,2,,3,,36.937606811523,-85.946296691895,-1,
R_3qX3TJdyMFAVYs1,Default Response Set,Anonymous,,,65.28.239.115,0,2016-05-16 10:51:58,2016-05-16 10:53:54,1,9831461,1,1,,2,,2,3,,39.597503662109,-84.15599822998,-1,
R_3dTiwkPYraj4nNL,Default Response Set,Anonymous,,,65.210.59.2,0,2016-05-16 10:52:03,2016-05-16 10:53:54,1,1500870,1,1,,2,,1,3,,38.838104248047,-77.212097167969,-1,
R_1BX9ztxORJomvIy,Default Response Set,Anonymous,,,108.73.31.132,0,2016-05-16 10:52:04,2016-05-16 10:53:57,1,9576676,1,1,,2,2,,3,"98 + 7 = 105, not 100.",37.668304443359,-97.277297973633,-1,
R_3Hoars7QZuLrwsF,Default Response Set,Anonymous,,,198.71.117.158,0,2016-05-16 10:51:36,2016-05-16 10:54:00,1,8004232,1,1,,2,,1,3,,32.703796386719,-109.65579986572,-1,
R_eIPp1OKmJVsXJPX,Default Response Set,Anonymous,,,98.189.25.180,0,2016-05-16 10:52:43,2016-05-16 10:54:01,1,1980354,1,1,1,,1,,3,,33.645095825195,-117.67860412598,-1,
R_2dfPdYuJh3scSRD,Default Response Set,Anonymous,,,50.196.37.1,0,2016-05-16 10:51:47,2016-05-16 10:54:04,1,4958278,1,1,,2,1,,3,No comments,39.996398925781,-75.1708984375,-1,
R_2ux6iIJxdbVT6jD,Default Response Set,Anonymous,,,198.8.80.177,0,2016-05-16 10:52:12,2016-05-16 10:54:06,1,8196112,1,1,,1,1,,3,,34.043792724609,-118.25120544434,-1,
R_2ipFB1SlwMeLcOt,Default Response Set,Anonymous,,,170.167.192.19,0,2016-05-16 10:52:24,2016-05-16 10:54:06,1,720726,1,1,2,,1,,2,,47.50129699707,-122.00650024414,-1,
R_3GeWFE4E1DQPG8D,Default Response Set,Anonymous,,,107.77.221.124,0,2016-05-16 10:53:10,2016-05-16 10:54:10,1,6414771,1,1,1,,,1,3,Thanks,29.752304077148,-95.366996765137,-1,
R_1QKnoQZKyufSnRO,Default Response Set,Anonymous,,,138.86.100.162,0,2016-05-16 10:53:18,2016-05-16 10:54:13,1,8452106,1,1,,2,1,,3,,40.399307250977,-104.70169830322,-1,
R_1Q5Bg9fcJMC5A5K,Default Response Set,Anonymous,,,70.40.45.148,0,2016-05-16 10:52:53,2016-05-16 10:54:14,1,6368454,1,1,1,,,2,3,,47.151306152344,-96.485496520996,-1,
R_3IR9SPwd0s3i14z,Default Response Set,Anonymous,,,50.188.144.66,0,2016-05-16 10:53:12,2016-05-16 10:54:15,1,7267375,1,1,,2,,2,3,no,44.63639831543,-123.00650024414,-1,
R_3CUvRERhO0Q0XY2,Default Response Set,Anonymous,,,74.131.140.160,0,2016-05-16 10:51:37,2016-05-16 10:54:18,1,9665909,1,1,,2,2,,3,,38.142196655273,-85.622001647949,-1,
R_Azlvds9kqfSQTBv,Default Response Set,Anonymous,,,108.49.26.122,0,2016-05-16 10:53:01,2016-05-16 10:54:18,1,7461516,1,1,,2,1,,3,,42.485305786133,-71.441802978516,-1,
R_2pQdJJtqpXt2ZuV,Default Response Set,Anonymous,,,75.136.160.128,0,2016-05-16 10:53:26,2016-05-16 10:54:24,1,4841102,1,1,1,,,2,3,,35.871307373047,-84.983497619629,-1,
R_31SKnuJjRW0otAd,Default Response Set,Anonymous,,,173.58.253.223,0,2016-05-16 10:51:57,2016-05-16 10:54:29,1,3243687,1,1,,2,,1,3,,34.145401000977,-117.85139465332,-1,
R_2S31vAsyU7zhdgk,Default Response Set,Anonymous,,,75.81.206.184,0,2016-05-16 10:52:51,2016-05-16 10:54:34,1,8105874,1,1,1,,2,,3,,37.766204833984,-87.259101867676,-1,
R_22DPiEGmgPqArht,Default Response Set,Anonymous,,,75.17.231.36,0,2016-05-16 10:52:17,2016-05-16 10:54:35,1,3817479,1,1,2,,1,,3,The second choice said 7 students receive a prize while 98 do not. Or at least i believe.,32.767303466797,-96.624702453613,-1,
R_1PUwR3kCMsUd5cX,Default Response Set,Anonymous,,,72.239.198.240,0,2016-05-16 10:52:53,2016-05-16 10:54:39,1,2515658,1,1,,2,1,,3,,29.109893798828,-80.972999572754,-1,
R_3Rfuu9IlGpUp6pq,Default Response Set,Anonymous,,,24.22.58.25,0,2016-05-16 10:52:07,2016-05-16 10:54:44,1,3978526,1,1,,2,2,,3,,45.630004882812,-122.51989746094,-1,
R_XhnjfrbCyemVGX7,Default Response Set,Anonymous,,,69.248.217.239,0,2016-05-16 10:53:57,2016-05-16 10:54:52,1,6758393,1,1,,2,2,,3,,39.386993408203,-74.621696472168,-1,
R_22Jm9nzBw5Gjcg1,Default Response Set,Anonymous,,,162.217.213.186,0,2016-05-16 10:52:32,2016-05-16 10:54:59,1,9606338,1,1,2,,,2,3,Thanks!,36.552200317383,-86.527198791504,-1,
R_2PtXVlQiOhMtU1F,Default Response Set,Anonymous,,,71.68.89.146,0,2016-05-16 10:51:37,2016-05-16 10:55:00,1,7081624,1,1,,2,,2,3,,35.111999511719,-80.761703491211,-1,
R_2Qgo2H24qaWdcER,Default Response Set,Anonymous,,,69.1.50.26,0,2016-05-16 10:53:23,2016-05-16 10:55:01,1,4579247,1,1,,2,,2,3,,35.981704711914,-84.128997802734,-1,
R_aW8oETSsXfiXAfr,Default Response Set,Anonymous,,,216.52.117.102,0,2016-05-16 10:54:08,2016-05-16 10:55:04,1,759731,1,1,2,,1,,3,,37.270004272461,-79.941101074219,-1,
R_2alFxUlgfFRai28,Default Response Set,Anonymous,,,75.41.110.48,0,2016-05-16 10:53:34,2016-05-16 10:55:09,1,2594061,1,1,2,,1,,3,,42.334396362305,-83.275199890137,-1,
R_3Du5pZKloc7UaiU,Default Response Set,Anonymous,,,50.188.144.66,8,2016-05-16 10:54:28,2016-05-16 10:55:09,1,5846246,1,1,,2,,2,3,no,44.63639831543,-123.00650024414,-1,
R_1mVDlELQsFzx4Yv,Default Response Set,Anonymous,,,69.249.214.33,0,2016-05-16 10:52:44,2016-05-16 10:55:12,1,1413353,1,1,,2,2,,3,interesting,40.032592773438,-75.115798950195,-1,
R_2UYiNB7RIGmgrnR,Default Response Set,Anonymous,,,68.192.194.156,0,2016-05-16 10:53:24,2016-05-16 10:55:12,1,4214691,1,1,,2,1,,3,,40.815200805664,-73.362396240234,-1,
R_2DNP1lbinoQQLgC,Default Response Set,Anonymous,,,71.195.168.200,0,2016-05-16 10:50:59,2016-05-16 10:55:13,1,9363983,1,1,,2,,2,3,none,36.792404174805,-119.76039886475,-1,
R_1KlgRi7bs6JEN7y,Default Response Set,Anonymous,,,173.53.11.155,0,2016-05-16 10:54:21,2016-05-16 10:55:36,1,9226263,1,1,,2,2,,3,,37.444900512695,-77.298301696777,-1,
R_3pmB0if8huG70iE,Default Response Set,Anonymous,,,98.170.233.116,0,2016-05-16 10:53:50,2016-05-16 10:55:38,1,2110930,1,1,2,,,2,3,,30.514297485352,-86.462997436523,-1,
R_1i87B9hT3aEOp0F,Default Response Set,Anonymous,,,107.170.37.31,0,2016-05-16 10:54:15,2016-05-16 10:55:40,1,7204981,1,1,,2,2,,1,no comments,40.714294433594,-74.005996704102,-1,
R_2xRVXfnPlW4SuD7,Default Response Set,Anonymous,,,24.142.74.227,0,2016-05-16 10:51:44,2016-05-16 10:55:41,1,4651586,1,1,,2,2,,3,"I think it best that every child receives equal amounts. Unless there was a competition and some children performed better than others, it doesn't make sense not to distribute fairly.",32.618804931641,-93.885200500488,-1,
R_1Ii7BMqWeYydpmS,Default Response Set,Anonymous,,,108.95.106.121,0,2016-05-16 10:53:05,2016-05-16 10:55:44,1,106921,1,1,,2,2,,3,,25.705200195312,-80.463302612305,-1,
